"Sr.No","Device No","Device Type","String Id","Date Time","Set value of current(Amps)","Current R","Current Y","Current B","Voltage R","Voltage Y","Voltage B","PF R","PF Y","PF B","KW R","KW Y","KW B","KWH","KVA R","KVA Y","KVA B","KVAH","Current Usage(Hrs)","Emergency Status","Mode","Door Status","Voltage Status","Load Status","MCB Status","Lamp Status","Lamp On Time","Lamp Off Time","I/P","Battery Mode On Time","Battery Mode Off Time"
"#{rowIndex+1}","DIM 00012","Single Phase","033","2017-03-27 13:33:10.0","","0.0","","","222.99","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","032","2017-03-27 13:33:03.0","","0.0","","","221.85","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","031","2017-03-27 13:32:56.0","","0.0","","","221.68","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","030","2017-03-27 13:32:49.0","","0.0","","","223.11","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","029","2017-03-27 13:32:42.0","","0.0","","","223.08","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","028","2017-03-27 13:32:35.0","","0.0","","","218.11","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","027","2017-03-27 13:32:27.0","","0.0","","","218.34","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","026","2017-03-27 13:32:20.0","","0.0","","","221.03","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","025","2017-03-27 13:32:13.0","","0.0","","","221.85","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","024","2017-03-27 13:32:05.0","","0.0","","","223.05","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","023","2017-03-27 13:31:58.0","","0.0","","","221.7","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","022","2017-03-27 13:31:51.0","","0.0","","","220.83","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","021","2017-03-27 13:31:43.0","","0.0","","","216.3","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","020","2017-03-27 13:31:36.0","","0.0","","","218.87","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","019","2017-03-27 13:31:29.0","","0.0","","","219.75","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","018","2017-03-27 13:31:22.0","","0.0","","","219.19","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","017","2017-03-27 13:31:15.0","","0.0","","","218.23","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","016","2017-03-27 13:31:08.0","","0.0","","","216.97","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","015","2017-03-27 13:31:00.0","","0.0","","","218.46","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","014","2017-03-27 13:30:53.0","","0.0","","","220.54","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","013","2017-03-27 13:30:46.0","","0.0","","","220.59","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","012","2017-03-27 13:30:39.0","","0.0","","","218.34","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","011","2017-03-27 13:30:31.0","","0.0","","","217.14","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","010","2017-03-27 13:30:24.0","","0.0","","","218.46","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","009","2017-03-27 13:30:16.0","","0.0","","","218.2","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","008","2017-03-27 13:30:08.0","","0.0","","","218.46","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","007","2017-03-27 13:30:01.0","","0.0","","","217.2","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","006","2017-03-27 13:29:54.0","","0.0","","","219.02","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
